弹幕,时间
这是啥梗,2018-04-13 20:51:50
2*3的话有一个基向量没有存在价值。。或者强行变换会导致扭曲（非线性）？个人理解,2018-04-13 23:28:04
咳。。理解错了,2018-04-13 23:29:47
严格地说是列满秩吧,2018-04-22 21:54:17
第一次发现四分钟的视频可以看得这么血脉贲张,2018-04-25 19:18:44
哈哈哈哈哈,2018-05-24 22:13:37
行列式必须是方阵,2018-06-01 15:36:33
所以你们知道为什么尝试这么做很可笑吗。还是仅仅记住了“行列式必须是方阵”而已,2018-06-10 15:47:34
红字反了,2018-06-10 17:35:51
皮皮虾,2018-06-11 17:10:39
降维打击！,2018-06-18 21:32:15
这个黄色的输入不是一维的吗？？？,2018-06-21 18:21:30
有意思,2018-06-30 20:54:09
这里列满秩，行秩不满秩，但行秩列秩都是2,2018-08-07 23:28:17
归零膏警告！,2018-08-07 23:33:30
感谢,2018-08-09 21:12:33
3×2矩阵解线性方程：3个方程式，2个未知数，将二维空间投射到三维空间，要么无解，要么一个解,2018-08-13 15:10:13
2×3矩阵解线性方程：2个方程式，3个未知数，将三维空间压缩成二维空间，要么无解，要么无穷多解,2018-08-13 15:09:49
就算有线性相关也求不了…说能求的那几个，我们学的是一个宇宙观下的线性代数吗,2018-08-14 15:22:11
非方阵在矩阵中统称为存在多余向量，立即化为0，并且没有行列式这一说,2018-08-14 15:24:30
这里应该注意黄色的和紫色的矩阵在这里都表示向量而不是变换,2018-08-25 23:28:20
抱歉上面两位都说反了,2018-09-02 13:26:58
列满秩,2018-09-08 11:24:21
非方阵也有逆的 就是左右逆吧,2018-09-08 11:27:09
不是列满秩，因为秩最多是2，这里满秩就是只行满秩，,2018-09-18 14:49:53
变换后的维数仍然是二维，但此平面在三维空间中,2018-09-21 20:31:20
官方吐槽最为致命,2018-09-24 11:18:05
没弹幕？,2018-10-13 02:34:04
妙啊,2018-10-16 19:26:33
不学好不好看懂，懂了才能欣赏,2018-10-21 19:10:52
行数column是输出，列数row是输入。,2018-11-15 16:57:07
别被前面那一大坨字误导了，都是错的,2018-11-21 11:09:17
妙啊,2018-11-26 15:41:14
红字说反了！,2018-11-27 14:27:41
哈哈哈哈,2018-11-28 17:05:04
因为变换之后没改变列向量的维度啊,2018-11-28 17:07:22
没有降维,2018-11-28 17:07:51
原来有两个基向量，变换之后还是有两个基向量，没降维,2018-11-28 17:09:12
这特么是才是行列？我学的是什么！,2018-12-07 23:02:23
之前不是说矩阵变化不是不能升维吗,2018-12-17 09:23:21
没有改变维度，而是改变了空间，是这样理解吗？,2018-12-17 22:17:06
妙啊,2018-12-17 22:19:47
只能说是列满秩吧！,2018-12-21 00:03:50
非常感谢搬运工！谢谢！,2018-12-23 15:57:57
对啊不是不能吗,2018-12-27 19:37:02
没升维 还是二维,2019-01-02 09:59:09
没有升维依然是平面,2019-01-05 21:13:54
笑死,2019-01-05 23:30:15
没有升维，只是把线性空间放到更高维的空间,2019-02-04 14:31:23
错了,2019-03-05 19:13:49
降维,2019-03-13 01:28:13
笑死,2019-03-13 15:43:00
降维打击,2019-03-18 19:41:33
have fun,2019-03-19 17:45:24
感动哭了,2019-03-23 15:54:55
降维打击,2019-04-07 21:48:39
非方阵就是斜面,2019-04-09 16:54:55
变幻后的函数只是起在不同空间中表述向量的作用,2019-04-12 15:16:02
并不会改变原有的维数，平面还是平面,2019-04-12 15:16:40
也就解释了行列式相乘时，为什么规定列数等于行数,2019-04-12 15:17:34
但是为什么列与行为什么不能相等呢？,2019-04-12 15:24:52
意思是输出向量只能在这个平面上吗,2019-04-23 11:56:31
维度没变，只是表达方式变了,2019-04-23 12:02:39
化成最简式。。不就是x-y面么,2019-04-23 12:06:38
2×3是不是投影啊？,2019-04-23 12:08:44
基向量同向，代数和,2019-04-23 13:18:06
不是严格意义的投影，但可以看成是非垂直投影,2019-04-23 13:21:38
应该是正交无解,2019-04-23 13:29:06
因为正交向量在变换方向上的分量为零,2019-04-23 13:30:02
一晚上从1看到这里，根本停不下来啊,2019-04-24 23:51:34
"就是(x,y,z)",2019-04-30 15:52:46
汤家凤,2019-05-07 08:59:15
<-并没有升维，还是个平面,2019-05-12 20:07:42
突然发现静音看这个视频会更舒服点,2019-05-13 17:51:46
降维打击！！,2019-05-13 22:02:17
我们画的三维直观图不就是这么干的吗？（个人思想）,2019-05-13 22:03:43
萌萌 站起来,2019-05-15 19:18:22
投影,2019-05-19 17:32:13
哈哈哈哈,2019-05-20 09:26:27
所以光笑死的能解释一下吗,2019-05-21 17:54:26
行数代表变换后的维数基数 列数代表变换前的维数基数》,2019-06-12 15:23:45
根本停不下来,2019-06-12 23:16:59
降维打击！,2019-06-12 23:20:11
所以矩阵行多于列是升维变换，列多于行是降维变换,2019-06-15 00:51:36
不是投影,2019-06-23 10:29:22
非方阵根本没有行列式,2019-06-25 11:10:23
这里没听懂,2019-07-02 23:38:03
那这3个基向量不就线性相关了吗？？有谁赞同不？,2019-07-24 15:04:34
 我只想说，搞数学的真会玩。。。,2016-10-20 15:03:40
正交,2016-10-20 18:06:54
就是u的纵坐标,2016-10-20 19:07:09
calvin & hobbes！！,2016-10-21 00:12:05
我们是称为内积吧？,2016-10-21 21:09:01
越来越看不懂了,2016-10-21 22:10:12
所以说乘上个cos不就完美了嘛,2016-10-22 18:06:56
逻辑相当严谨,2016-10-22 19:07:03
这个实在是不错,2016-10-23 04:04:25
点积。,2016-10-23 20:08:04
说不定宇宙就是上帝编制的一款程序而已。。。宇宙的本质就是数学吧,2016-10-23 21:09:29
真能想。,2016-10-24 11:11:19
第一次学就在想本质问题=_=,2016-10-24 16:04:24
←就是点乘,2016-10-24 23:11:28
点乘与叉乘，他这里换成积，一样的,2016-10-25 01:01:45
不明覺厲,2016-10-25 08:08:07
必须给我们点一个赞，,2016-10-25 14:02:04
太他妈精辟了，,2016-10-25 14:02:05
大学一年学的，乱七八糟，他，十分钟讲明白，,2016-10-25 14:02:06
我也想过 只是就当时一想 问老师也不知道就没管了-_-||,2016-10-25 16:04:09
看了两遍，终于懂了,2016-10-26 12:12:34
我当时也是这么想的，这两者还无关系啊,2016-10-26 23:11:23
数量积，向量积,2016-10-30 01:01:25
一遍肯定不懂……而且最好建立在线性代数的计算已经比较熟悉的基础上,2016-10-31 16:04:28
终于踏马有时间发弹幕了,2016-11-04 01:01:28
流弊,2016-11-04 17:05:29
蒙蔽ing,2016-11-06 17:05:31
明白吗？,2016-11-06 17:05:39
大伯呦,2016-11-07 02:02:04
噢 懂了 这样的话1X2就等于】,2016-11-09 00:12:29
我们叫点乘叉乘，内积外积。。,2016-11-09 00:12:42
北大那个高等代数点积也是放到最后的欧几里得空间讲的,2016-11-09 20:08:59
double u,2016-11-12 14:02:38
orthodox,2016-11-12 20:08:39
不错的解释,2016-11-13 21:09:12
感谢翻译啊,2016-11-13 21:09:22
所以说公理的存在就被吃了么,2016-11-14 06:06:53
希尔伯特空间中riesz表示引理的一个例子,2016-11-14 20:08:24
我们管它叫点乘。。。,2016-11-14 21:09:51
对 是向量的内积,2016-11-15 19:07:28
流弊,2016-11-15 20:08:50
我想问什么，你就教我什么，你好厉害(ง •̀_•́)ง,2016-11-17 21:09:01
amazing,2016-11-19 11:11:48
点积是一种特殊的内积。只要满足一定条件，都可以作为内积。,2016-11-19 13:01:06
这个和同构有什么区别,2016-11-19 17:05:50
厉害了,2016-11-20 00:12:18
！！！,2016-11-26 19:07:04
没学过，听懂了！！！,2016-12-05 08:08:39
前面的你没看懂吧,2016-12-05 20:08:57
起立,2016-12-05 23:11:26
喵喵喵？？？,2016-12-06 16:04:12
前面说cos的，看问题要看本质而不是符号游戏,2016-12-06 18:06:26
好亲切的图形,2016-12-06 23:11:45
秩序之光的英文名就是symmetry,2016-12-08 14:02:12
为啥没人,2016-12-08 23:11:29
太漂亮了(  ･᷄д･᷅ ),2016-12-10 22:10:18
我们的宇宙是物理学家在研究，数学的话，哪个宇宙都能用,2016-12-11 20:08:05
投影行为是到数轴的线性变换,2016-12-11 20:08:15
有哟,2016-12-12 19:07:00
等等，为什么是i帽和j帽相加而不是相减?,2016-12-13 00:12:22
感觉这里又有大招了,2016-12-13 20:08:44
i 冒 j帽 直接翻译成 ^i 和 ^j 好了 j 帽 这个翻译不好,2016-12-15 09:09:44
数量积我慢慢看了三遍才明白了,2016-12-15 10:10:51
数量积,2016-12-15 19:07:43
把两个向量看成一个矩阵对另一个向量的线性变换,2016-12-15 19:07:50
应该是这样，从二维变换到数轴上了，所以是一个数,2016-12-15 19:07:53
1*2的矩阵把一个二维向量变换到二维平面中的数轴上,2016-12-15 19:07:57
搞数学的可有意思了啊,2016-12-16 22:10:18
我去！,2016-12-17 23:11:37
也是一个变换。,2016-12-18 19:07:26
数学能力的本质是 抽象思维和逻辑推理,2016-12-20 15:03:43
学好数学真的需要好的想象力,2016-12-20 15:03:44
国内大部分高校老师 估计自己都没弄明白  讲起来也含含糊糊,2016-12-20 15:03:51
点积叉积,2016-12-20 16:04:18
要是有关于概率和统计 这样的深入视频就好了,2016-12-20 16:04:26
希尔伯特空间,2016-12-20 22:10:45
公理不可证,2016-12-21 18:06:37
厉害,2016-12-21 19:07:07
see you,2016-12-22 00:12:18
弄明白了，点级第一个矩阵对第二个矩阵的线性变换后的数值,2016-12-22 11:11:16
似懂非懂的感觉,2016-12-23 15:03:48
高中就这么定义的,2016-12-23 16:04:45
为什么是唯一的向量与它对应,2016-12-31 17:05:57
难道不是过这点与数轴垂直的直线上的向量都与之对应吗？,2016-12-31 17:05:58
厉害了,2017-01-01 13:01:32
前面那个等式怎么来的。。,2017-01-02 20:08:55
好吧，这章有点迷糊- -,2017-01-02 21:09:06
回放了三遍,2017-01-02 21:09:12
没得说,2017-01-02 21:09:13
这个视频应该放给所有大一理工科学生看。。,2017-01-03 05:05:50
double u,2017-01-03 10:10:19
这段话真是精辟。根据卡尔波普尔的证伪理论，科学一定要可证伪。,2017-01-03 17:05:40
而部分神学和数学都是不可证伪而自洽的理论体系,2017-01-03 17:05:40
对称性被破坏了这句话在当代物理可是句金句啊233,2017-01-03 17:05:52
点乘，内积，数量积,2017-01-03 22:10:19
请复习投影矩阵,2017-01-03 22:10:20
这是承接上一讲,2017-01-03 22:10:23
回去复习 坐标分量,2017-01-03 22:10:25
转置相乘,2017-01-03 22:10:25
小学几何,2017-01-03 22:10:29
这是watson的漫画里面的两个角色的对话，小老虎和它的主人,2017-01-04 11:11:24
太强大了，这个系列看完以后要去看看三体。,2017-01-04 12:12:08
   最小二乘法公式？,2017-01-04 12:12:12
高中叫向量的数量积,2017-01-05 10:10:54
基向量要来了,2017-01-06 16:04:47
数量积，向量积，张量积,2017-01-09 14:02:18
如果点是等距排列，但是交换了顺序呢,2017-01-09 14:02:24
投影就是高维拍扁到低维的表征？,2017-01-12 23:11:59
不就是相似三角形么……,2017-01-17 10:10:16
看了三遍才明白,2017-01-18 00:12:08
那也不是,2017-01-18 23:11:14
转置,2017-01-22 16:04:30
厉害,2017-01-22 16:04:33
还是得重看。。,2017-01-24 14:02:43
一口气十集了,2017-02-02 22:10:38
服了,2017-02-03 22:10:10
服了,2017-02-03 22:10:10
2可以扩展为任意倍数,2017-02-03 22:10:54
似懂非懂,2017-02-04 15:03:49
看了三四遍 终于看懂,2017-02-07 09:09:03
解释了转置的意义,2017-02-08 21:09:53
就像物理的矢量，数字的正负本身就有方向，一维上叠加就是,2017-02-09 15:03:14
这个观点可比之前那个说相似三角形的高明多了……,2017-02-09 18:06:53
厉害了！第一次这么理解向量,2017-02-10 20:08:35
逻辑严谨的玄学！,2017-02-11 13:01:45
我还是有个问题，从几何上怎么理解点积不分左乘和右乘？,2017-02-11 15:03:34
群论,2017-02-11 16:04:05
刚学都觉得好神奇啊，然后老师给出了含cos的公式...,2017-02-11 22:10:56
  两个π都不看 好可爱,2017-02-11 22:10:59
我也是想问这个问题,2017-02-12 17:05:56
你好，新朋友,2017-02-15 15:03:11
ku死了,2017-02-15 15:03:19
从背面看一下二维平面就行,2017-02-15 20:08:08
mogen-scott剖分,2017-02-15 20:08:09
我们的线代课=计算课 -_-,2017-02-19 13:01:32
秩序之光的英文名是symmetra吧,2017-02-19 18:06:20
感觉是把二维向量的乘积放到一维向量中去解决了,2017-02-21 15:03:53
摆脱算式之后再来思考的效果会好很多,2017-02-21 21:09:32
开头见,2017-02-22 12:12:44
md过几天就复试了，沉迷数学无法自拔,2017-02-23 04:04:26
"向量a点乘向量b=|a||b|cos<a,b>",2017-02-24 13:01:06
我擦，我不行了，我要窒息了！！！,2017-02-25 01:01:02
又听不懂了。。。。。,2017-02-27 20:08:43
初中狗表示：全等！,2017-02-28 19:07:27
弹幕总算出现我看不懂的词了,2017-02-28 19:07:49
+1,2017-02-28 19:07:53
你应该返回去重看,2017-02-28 19:07:56
一直看不懂，所以我又来啦,2017-02-28 20:08:57
看了3遍，终于yiudianm,2017-02-28 21:09:10
看了3遍，终于有感觉了,2017-02-28 21:09:11
怎么理解“向量看作是线性变换的物质载体”~能解释出来吗?,2017-03-01 09:09:07
整个看了两遍才看懂，这种想法真是开眼界了,2017-03-01 13:01:15
绝了,2017-03-01 13:01:37
数学本来就不是科学，科学可证伪不可证实,2017-03-03 22:10:13
为什么要有点积,2017-03-04 20:08:46
懂了。。,2017-03-04 20:08:51
因为点积为0向量垂直,2017-03-05 14:02:02
没怎么懂……再看一遍！不过讲得真好,2017-03-05 20:08:38
这个地方用三角函数更好解释，cosalpha*a*b = cosalpha*b*a是一样的,2017-03-05 23:11:23
真的是我想问什么的时候就开始解答什么太厉害了,2017-03-06 00:12:22
懂也是分层次的 看你懂到了哪个层次上,2017-03-06 20:08:36
屌炸了，了不起,2017-03-08 12:12:14
看起来是点积，实际上还是线性变化啊,2017-03-08 12:12:17
希尔伯特空间是无限维的，是函数空间谢谢,2017-03-10 11:11:54
因为把公式丢出来就可以糊弄过去了,2017-03-10 17:05:25
精妙啊,2017-03-12 00:12:40
所以我没有数学家的思维,2017-03-12 00:12:42
中科大有讲,2017-03-13 13:01:56
交换了顺序的话 那两个点中间的点肯定乱了啊,2017-03-14 10:10:33
斯密特,2017-03-17 11:11:32
这个学过物理的应该比较清楚,2017-03-17 16:04:35
投影到该数轴，可理解为2D降到1D吧，一种transformation,2017-03-18 21:09:16
用谁都懂的知识解释清楚想不明白的背景，这也许就是真水平了,2017-03-19 23:11:06
已经开始看不懂了,2017-03-21 23:11:24
准备再看一遍,2017-03-22 14:02:46
所以说，线性变换，线性代数，其实这个称呼很形象,2017-03-23 11:11:11
你非要说这是全等三角形我也没办法，你开心就好,2017-03-23 11:11:17
第三遍搞懂的+1,2017-03-24 01:01:24
矩阵可以表示为降维的变换，原来点积液可以看作是降维变换,2017-03-26 11:11:26
对称型,2017-03-26 11:11:28
相似,2017-03-29 19:07:07
为了文明，我们都不说积,2017-03-30 15:03:18
看了两遍，我终于懂了！,2017-04-07 16:04:27
 <-前面的，我也是刚想问这个问题,2017-04-07 16:04:31
这句话叼炸了,2017-04-07 16:04:34
所以MATLAB里要用“.*”，点乘,2017-04-08 20:08:28
额，说错了，MATLAB里那个算是函数,2017-04-08 20:08:29
这个好，不用三角函数,2017-04-08 20:08:32
三角函数不够直观,2017-04-08 20:08:33
重头戏来了,2017-04-08 20:08:34
信息量损失了,2017-04-08 20:08:36
这里把i和j首尾相连，再投影会更好理解,2017-04-08 20:08:52
原来高中老师不说是为我们好……,2017-04-08 21:09:09
简直爆炸,2017-04-12 01:01:18
Beautiful 但是我没听懂。????,2017-04-14 13:01:13
dabeu,2017-04-16 16:04:07
没听懂这讲的内涵是什么？,2017-04-17 16:04:07
好赞,2017-04-19 19:07:49
哈哈初中狗,2017-04-20 11:11:22
解释了一些东西,2017-04-24 20:08:31
又搞乱了一种东西,2017-04-24 20:08:31
1×2矩阵相当二维平面中的一维数轴，然后变换2×1的坐标点到数轴上,2017-04-25 08:08:48
2×1是ping'm,2017-04-25 08:08:52
看好几遍才大概弄明白什么意思,2017-04-25 18:06:17
我觉得翻得挺好的,2017-04-25 22:10:24
我觉得翻得挺好的,2017-04-25 22:10:24
高中生表示没走,2017-04-27 09:09:58
殊途同归,2017-05-06 20:08:32
"太漂亮了,两个向量的点积原来本质上就是高维向量在一维的映射",2017-05-06 21:09:38
大寫的服,2017-05-10 16:04:41
智商欠费的我看了10遍以上 = =,2017-05-12 17:05:16
一脸蒙蔽,2017-05-14 10:10:13
看不懂的在变换的1和-2下分别补个0,2017-05-14 19:07:44
单位向量万能法宝,2017-05-14 21:09:09
内积,2017-05-16 12:12:34
因为dp＝wv*cosθ，所以从那边投影都是一样的,2017-05-16 20:08:16
看了第二遍才懂……,2017-05-19 23:11:04
进一步的意义没看懂...,2017-05-21 19:07:15
服了！,2017-05-22 01:01:49
标量积和向量积,2017-05-22 19:07:19
要理解就不能这里一下子引入三角函数,2017-05-27 17:05:08
我们看的时候 不一定在同一个地方吧...,2017-05-27 17:05:11
笑死 人家刚才才说了对称性Duality啊,2017-05-27 18:06:09
真刺激，鸡皮疙瘩都起来了,2017-05-28 12:12:11
看了好久才懂,2017-05-29 00:12:49
妙啊,2017-05-29 14:02:27
数论...,2017-05-29 20:08:23
看第二遍了 基本明白了,2017-05-29 22:10:23
Scalar(dot) product,2017-05-30 22:10:31
Vector(Cross)Product,2017-05-30 22:10:31
带cos的几何公式在线代中是由代数推出来的吧,2017-05-30 22:10:33
←向量当然是用基底的相加来表示啊,2017-05-30 22:10:42
cooooooooool,2017-05-31 19:07:53
这一定是魔法,2017-05-31 19:07:57
太强了。。。,2017-06-02 19:07:28
鸡皮疙瘩,2017-06-02 19:07:32
这一小段我看了五遍！,2017-06-02 19:07:35
看了10遍,2017-06-08 11:11:41
还是不懂,2017-06-08 11:11:42
开始吃力了。。,2017-06-09 15:03:10
好多大学都只讲计算、公式。和做题的，根本不讲内涵,2017-06-11 09:09:34
弹幕终于 出现 看不懂的词了,2017-06-15 08:08:08
用余弦定理可以证,2017-06-18 14:02:10
我刚刚学向量的时候也想到过。。。,2017-06-18 14:02:14
这个向量就是特征向量吧,2017-06-19 17:05:44
有人,2017-06-20 10:10:30
这集得重头看一遍。。,2017-06-20 10:10:33
点积是投影的值，人眼看到的都是二维的事物投影,2017-06-21 12:12:25
高中生默默的看着学线代,2017-06-22 15:03:39
高中生表示不理解,2017-06-22 15:03:46
看起来好厉害的样子,2017-06-22 15:03:47
高中生默默的看着你们讨论,2017-06-22 15:03:49
那个相似三角形的很厉害啊,2017-06-22 15:03:50
说到我心里了,2017-06-22 15:03:51
不明觉厉,2017-06-22 16:04:02
这个太厉害了，orz,2017-06-22 16:04:02
大写的：服,2017-06-22 16:04:02
这个解释不知道比老师讲的高到哪里去了,2017-06-22 16:04:05
是的，非常的beautiful,2017-06-22 16:04:07
开头见,2017-06-22 16:04:09
空间变换好酷,2017-06-22 16:04:25
交换了顺序并不影响它的性质,2017-06-22 16:04:26
受益匪浅,2017-06-22 16:04:29
是的，very cool,2017-06-22 16:04:31
怎么相连投影？高中狗表示不懂,2017-06-22 16:04:32
+1s,2017-06-22 16:04:33
没学过物理应该能懂吧,2017-06-22 16:04:37
再来一遍,2017-06-22 18:06:40
都给你做成动画了 想象力要求大幅降低,2017-06-24 02:02:00
点积运算就是人为的定义 数值上恰巧等于他现在说的这个相乘的值,2017-06-24 02:02:06
投影长度就是用cos算的 同学,2017-06-24 02:02:12
公理就是8句废话 ,2017-06-24 02:02:20
前面就解释了,2017-06-24 03:03:35
感觉并不需要这个 前面那个已经够了,2017-06-24 03:03:50
不如看成先投影再拉长3倍,2017-06-24 20:08:20
严谨的证明利用内积定义的分配律还有余弦定理得到,2017-06-26 23:11:57
哦，懂了,2017-06-30 10:10:08
这是说明如果有一个特征向量P，那么kP(k不等于0)都是特征向量,2017-07-03 10:10:54
这里是说降一维，即s=n-r=1的矩阵的特征向量只有一个(方向上的)吗？,2017-07-03 11:11:02
漂亮,2017-07-04 19:07:12
将二维向量投影到数轴上即对二维向量做[ux uy]的线性变换,2017-07-05 16:04:11
太厉害了！！！！！！！,2017-07-06 12:12:22
此处应有掌声,2017-07-06 12:12:26
此处应有掌声,2017-07-06 12:12:26
这就是开头所谓的“两个数加起来居然等于一个数”,2017-07-07 00:12:14
j÷i＝斜率,2017-07-07 00:12:26
互相投影的长度相等,2017-07-07 00:12:29
妙啊~～,2017-07-07 00:12:29
u线上的单位向量，与变换成u线的矩阵,2017-07-07 00:12:32
u这条数轴拉长了，×3,2017-07-07 00:12:36
这种矩阵的变换动作，可以理解为先投影，再拉伸？,2017-07-07 01:01:02
想想开头那段话，两个数相加居然等于一个数！,2017-07-07 01:01:05
就是一种妙不可言的感觉,2017-07-07 01:01:09
very cool!!,2017-07-07 12:12:08
看了两遍才...,2017-07-07 12:12:15
确实好可爱,2017-07-08 14:02:17
^i ^j 丑死了的那个，，憋走。。。。,2017-07-08 14:02:18
缘，妙不可言,2017-07-08 14:02:26
666666666666666666666666666666666666666666666666666666666,2017-07-08 14:02:27
先辈们强无敌！,2017-07-10 22:10:09
哈哈哈看到这章我也不懂，再看一遍吧,2017-07-16 19:07:31
很6,2017-07-18 10:10:16
î,2017-07-21 13:19:45
duioulity,2017-07-21 13:27:02
第四遍了,2017-07-22 20:09:42
trace on,2017-07-24 21:13:06
在两个坐标系下这么写有问题吗？,2017-07-26 16:46:22
碉堡了,2017-07-27 19:23:26
线性变换坐标系原来坐标系，投影变换坐标变成了投影后向量所在坐标系,2017-07-27 22:55:53
希尔伯特空间是泛函分析的内容，在量子物理上有重要应用,2017-07-28 09:57:55
这样理解，矩阵乘法，就是一个空间，投影到另一个空间的样子,2017-07-29 21:07:32
←亲切图形的带我一个,2017-07-31 18:58:46
只有你帅的过坂本大佬,2017-07-31 19:44:46
下一节课可能会晕倒在课堂上,2017-07-31 19:54:24
真的不服不行。。。,2017-07-31 21:33:43
高数课，概率课不也是计算课么。,2017-08-02 13:43:36
啪啪啪,2017-08-02 15:36:25
到处都是三体。。。。。,2017-08-06 11:54:42
五年级数学课代表签个到,2017-08-08 13:07:15
哦、、、理解了、、、,2017-08-16 14:11:14
向量积……不看夹角么,2017-08-17 15:16:52
l,2017-08-18 02:53:38
上午8点3分，3人正在看,2017-08-19 08:03:32
为嘛会有高中生闲的蛋疼来看这个？,2017-08-19 11:08:22
为嘛不直接读大不留，而读double U,2017-08-19 11:09:23
cool,2017-08-21 22:58:08
66,2017-08-22 16:22:51
这里没懂,2017-08-22 16:39:22
秩序之光是symmetra,2017-08-24 01:04:17
不是，我其实不太明白这个变化怎么能是线性的,2017-08-25 16:00:37
真想给你一个么么哒,2017-08-26 13:02:01
令人窒息的操作,2017-08-28 12:38:51
难道不是看完了做几道题练练手吗hhhh,2017-08-29 09:24:32
看不懂的词,2017-08-29 09:25:29
这一部分没高中大神了hhhh,2017-08-29 09:41:14
我们把一个向量的基向量改为与另一个向量分别平行和垂直的一组向量就ok,2017-09-02 20:04:25
1.将数轴上的基向量变换到某二维向量上的变换就是,2017-09-06 21:42:26
此向量对应原来基向量的坐标本身,2017-09-06 21:42:37
2.这就意味着此向量与其他向量点乘的结果就是其他向量被,2017-09-06 21:42:33
此向量对应的变换矩阵(其原来基向量的坐标)变换所得到的结果,2017-09-06 21:43:27
3.因为该变换矩阵的效果是投影和伸缩  ,2017-09-06 21:44:09
所以该向量与此向量的点乘的结果就是投影乘以此向量的长度,2017-09-06 21:44:13
所以该向量与此向量的点乘的结果就是投影乘以此向量的长度,2017-09-06 21:44:23
线性代数一直有两种流派，一种是数理派，还有一种就这种几何派。。,2017-09-07 04:08:11
666,2017-09-07 22:02:45
说最小二乘的别出来误导= =,2017-09-17 12:26:07
大学狗，老师教的时候就把公式丢出来酱几个课本的例题就没了????????,2017-09-20 08:48:09
三个π颜色不一样了hhh,2017-09-20 09:09:09
角度刁钻,2017-09-20 17:42:48
点积是数，矩阵乘法是向量，两者仅数值相等，不完全相等,2017-09-27 13:52:30
这一段看了两遍才看懂他要干什么  really cool,2017-09-28 22:18:50
就这节感觉很难懂，没学过线代还说一遍懂的怕是假懂、强行懂。。。,2017-10-01 16:13:09
并不需要首尾相连，原版视频更容易理解坐标变换的本质,2017-10-01 16:40:53
底部没懂可能是没理解空间中一切向量的变换实质是基向量的变换，,2017-10-01 16:50:24
而基向量的变换可以通过左乘变换矩阵来实现,2017-10-01 16:50:38
，这里的变换矩阵就是投影矩阵,2017-10-01 16:50:44
线性代数里只有加法没有减法,2017-10-03 22:23:55
线性代数里有加法没减法,2017-10-03 22:24:32
就觉得…这么基本的东西不是一开始看到就该懂吗…,2017-10-09 02:12:28
投影的动作也叫projection operator,2017-10-10 12:05:15
数学就是一种函数，目的是求物理运动,2017-10-18 17:40:07
到这就听不懂了，回过头再做功课。,2017-10-24 20:54:22
炸了，有点跟不上,2017-10-26 21:12:55
已经。。看不懂了QAQ,2017-10-29 20:34:56
这是在干啥子？好像是讲余弦定理？,2017-10-29 23:42:46
良心翻译 支持,2017-11-01 17:03:52
妙，妙,2017-11-04 11:31:53
amazing,2017-11-04 12:37:56
amazing!,2017-11-04 12:38:13
真的最后一集,2017-11-07 01:08:24
睡了,2017-11-07 01:26:08
我硬看了七遍!,2017-11-07 08:52:32
网络流里的最小割和最大流,2017-11-08 21:57:45
不不不首先要证明这是个半群（逃,2017-11-14 00:13:31
看了3个小时，终于懂了,2017-11-18 18:53:15
Riesz表示定理的别走,2017-11-20 22:06:57
这视频要看第二遍,2017-11-21 10:28:24
两个向量的角度一直没变cos值相同这才是本质,2017-11-23 10:14:00
看了两遍明白了，服服服！！！,2017-11-26 10:53:24
2000年自学的线性代数，又学了一遍 感谢知乎,2017-11-26 21:06:50
看不懂,2017-11-26 21:15:47
这太帅乐吧,2017-11-27 13:10:52
一般吧,2017-11-30 01:04:40
可爱,2017-12-05 16:29:44
因为减去一个数完全的等于加上一个数的负数,2017-12-06 12:37:16
高三狗提醒大家，这15分钟的内容我花了上午四节课才给整明白,2017-12-06 12:40:57
不要妄想看完以后马上就会了，动笔画一画想一想,2017-12-06 12:41:27
高中就讲过了啊…问题是这就丢了方向了（,2017-12-07 18:03:06
点积使向量被压缩成了一维  ,2017-12-14 19:05:54
不说积？积分呢（,2017-12-17 00:12:19
riesz引理23333,2017-12-18 11:51:17
QAQ看完这集我要歇歇脑子,2017-12-19 14:52:03
对不起，我跑了,2017-12-19 15:11:49
欢迎回来！,2017-12-20 15:59:07
我感觉老师全是神仙，我们是菜鸡。。。,2017-12-20 16:40:40
这不就是完备性吗！！！！！！,2017-12-21 22:51:42
欢迎回来,2017-12-29 15:22:14
右上hhh,2017-12-31 02:41:34
抓住调皮的字幕组-->,2018-01-06 18:38:33
2维向量可以解释为变成1维的变换，点乘就是对一个向量施加这个变换,2018-01-12 20:45:31
第两遍走起,2018-01-14 20:35:21
秒懂的大哥你退群吧，视频是给我们这些菜鸟看的,2018-01-14 20:37:05
我们不懂投影啊老师。。,2018-01-16 20:56:52
酷的一笔,2018-01-19 11:19:48
秀到不行,2018-01-20 12:57:09
"cos<a,b>就是向量余弦定理",2018-01-22 10:23:40
这一节看了5遍..,2018-01-22 21:17:34
double u,2018-01-25 16:42:53
向量想要变得可爱,2018-01-25 17:13:21
第一遍,2018-01-28 13:49:59
这次换讲师了，不知道有没有人听出来。,2018-01-31 17:56:29
你们这些弹幕对理解没有一点帮助，自己还不确定就瞎蹦名词，闹什么呢,2018-02-01 17:15:32
数学不可证伪 本来就不是科学,2018-02-02 17:13:37
 这个用相似就能证了吧,2018-02-04 20:14:59
能在线代课和老师谈笑风生了,2018-02-06 13:42:39
齐次性和叠加性,2018-02-13 17:11:16
另一个在除夕学习的小伙伴你好啊哈哈哈哈,2018-02-15 09:35:11
妙啊,2018-02-16 14:37:01
