车辆品牌,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,,,,,,,,,,
宝马X1,2012款,X1 sDrive18i,2,自动,时尚型,2012年4月,5.6,16.5,30.6,,,,,,,,,,
大众CC,2011款,CC,2.0TSI,双离合,至尊版,2011年4月,10.6,15.2,32.7,,,,,,,,,,
大众宝来,2011款,宝来,1.6,手动,舒适版,2011年6月,3.1,6.49,12.9,,,,,,,,,,
大众甲壳虫,2010款,甲壳虫,2,自动,BlackOrange舒适版(进口),2010年6月,2.9,10,24.7,,,,,,,,,,
大众捷达,2009款,捷达,1.6,手动,CIF-P伙伴精英版,2009年5月,6,3.5,8,,,,,,,,,,
MINICabrio,2012款,Cooper S Cabrio,1.6T,自动,Hig,2014年4月,0.7,29.88,45.5,,,,,,,,,,
雷诺科雷傲,2009款,科雷傲,2.5,无级,两驱舒适版(进口),2009年12月,14.1,9.1,26.9,,,,,,,,,,
标致307-两厢,2010款,,2,手动,舒适版,2010年3月,6.9,4.1,11.5,,,,,,,,,,
捷豹XJ,2014款,XJL,2.0T,自动,两驱尊享商务版(进口),2014年2月,3.8,68,119.2,,,,,,,,,,
雷克萨斯IS,2009款,IS300,3,自动,炫动版(进口),2010年3月,7.8,19,52.5,,,,,,,,,,
大众高尔夫,2015款,高尔夫7,1.4TSI,手动,舒适型,2015年8月,3.2,11.5,15.3,,,,,,,,,,
大众速腾,2007款,速腾,1.6,自动,时尚版,2008年11月,10.5,6.8,16.3,,,,,,,,,,
大众途观,2012款,途观,1.8TSI,自动,四驱菁英版,2012年10月,5.2,16.8,29.5,,,,,,,,,,
马自达睿翼,2009款,睿翼,2.5,自动,至尊版,2010年6月,4.1,10.3,24.9,,,,,,,,,,
奥迪A6L,2014款,A6L,2.0TFSI,无级,舒适型,2014年3月,5.2,30.7,48.5,,,,,,,,,,
福特福克斯,2012款,福克斯-两厢,1.6,双离合,风尚型,2014年4月,4.8,9.5,15.6,,,,,,,,,,
铃木北斗星,2012款,,1.4,手动,全能版 标准版,2013年6月,2.5,3,5.3,,,,,,,,,,
大众帕萨特,2014款,帕萨特,1.8TSI,双离合,至尊版,2014年11月,4.5,18,29.3,,,,,,,,,,
宝马Z4,2012款,Z4 sDrive20i,2.0T,自动,领先型(进口),2012年3月,3.3,32.5,62.7,,,,,,,,,,
起亚赛拉图,2008款,欧风,1.6,自动,GL,2010年12月,2.6,4.45,10.8,,,,,,,,,,
马自达3,2010款,3,1.6,自动,经典款 精英版,2010年8月,6.3,5.6,14,,,,,,,,,,
奇瑞QQ3,2012款,,1,手动,时尚版冠军型,2012年3月,4.9,1.4,3.6,,,,,,,,,,
江淮瑞风穿梭,2015款,瑞风穿梭,2,手动,长轴舒适版,2015年1月,2.1,7.8,11.7,,,,,,,,,,
大众高尔夫,2011款,高尔夫 旅行车,1.4TSI,双离合,舒适版(进口),2012年6月,7.8,12.78,26,,,,,,,,,,
大众宝来,2012款,宝来,1.6,手动,舒适版,2012年5月,4.6,6.7,12.9,,,,,,,,,,
福特福克斯,2012款,福克斯-两厢,1.6,双离合,风尚型,2013年6月,2.7,8.6,15.6,,,,,,,,,,
雪佛兰迈锐宝,2013款,,2,自动,SE豪华版,2014年1月,7.9,11.5,19.7,,,,,,,,,,
马自达3,2010款,3,1.6,手动,经典款 精英版,2010年9月,10.8,4.7,12.2,,,,,,,,,,
斯柯达晶锐,2008款,晶锐,1.6,手动,晶灵版,2009年6月,5.9,3.4,10.6,,,,,,,,,,
大众高尔夫,2011款,高尔夫 旅行车,1.4TSI,双离合,舒适版(进口),2012年2月,6.9,12.6,26,,,,,,,,,,
比亚迪F3,2012款,,1.5,手动,GL-i标准型,2012年8月,8,2.65,6.2,,,,,,,,,,
大众高尔夫,2011款,Golf R,2.0TSI,双离合,(进口),2013年4月,6.4,25.8,42.9,,,,,,,,,,
东风风行菱智,2012款,,1.6,手动,商用版实用型,2012年10月,11.9,3.8,6.9,,,,,,,,,,
雪铁龙C5,2010款,C5,2.3,自动,尊雅型,2010年4月,11.5,8,21.7,,,,,,,,,,
雪铁龙C5,2014款,C5,1.6THP,自动,尊享型,2014年12月,1.9,13.8,22,,,,,,,,,,
东风风行菱智,2012款,,1.6,手动,商用版实用型,2012年10月,11.9,3.8,6.9,,,,,,,,,,
雪铁龙C5,2010款,C5,2.3,自动,尊雅型,2010年4月,11.5,8,21.7,,,,,,,,,,
雪铁龙C5,2014款,C5,1.6THP,自动,尊享型,2014年12月,1.9,13.8,22,,,,,,,,,,
现代新胜达,2013款,,2.4,自动,GLS两驱智能型5座,2013年5月,4.7,16.8,27.1,,,,,,,,,,
别克君越,2011款,,2.4SIDI,自动,雅致版,2011年9月,3.2,14.5,25.5,,,,,,,,,,
福特蒙迪欧,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200时尚型,2011年11月,13.8,9.6,21.7,,,,,,,,,,
雪佛兰景程,2010款,,1.8,手动,SE舒适版,2010年6月,9.7,4.2,14.1,,,,,,,,,,
起亚智跑,2011款,,2,自动,GLS两驱,2010年11月,8.5,9.6,20.9,,,,,,,,,,
奇瑞QQ3,2009款,,1,手动,,2010年8月,6.7,1.3,4,,,,,,,,,,
斯巴鲁森林人,2010款,,2.0XS,自动,豪华版(进口),2011年3月,6.5,13,27.7,,,,,,,,,,
雪佛兰科帕奇,2012款,,2.4,自动,7座豪华导航版,2012年8月,6.4,14.2,28.6,,,,,,,,,,
宝马3系,2013款,328Li,2.0T,自动,风尚设计套装(改款),2013年12月,3.2,28.5,51.6,,,,,,,,,,
路虎揽胜极光,2014款,,2.0T,自动,耀动版(进口),2014年5月,2.7,40,68.2,,,,,,,,,,
福特蒙迪欧,2013款,蒙迪欧,2.0T,自动,GTDi240 豪华运动型,2014年7月,3.2,18.3,26.4,,,,,,,,,,
丰田卡罗拉,2012款,卡罗拉,1.8,无级,GL-I 炫装版,2012年4月,5.6,9,16.5,,,,,,,,,,
起亚智跑,2011款,,2,手动,GLS 两驱,2011年9月,5.4,10.3,19.8,,,,,,,,,,
本田思域,2009款,思域,1.8,自动,Vti 豪华版,2009年1月,14.9,6.15,18.2,,,,,,,,,,
标致508,2013款,,2.3,自动,两周款 纪念旗舰版,2014年7月,3.8,15.2,24.9,,,,,,,,,,
宝马3系,2011款,330i双门轿跑车,3,自动,(进口),2012年2月,5.2,25.3,69.9,,,,,,,,,,
别克GL8,2014款,,3,自动,GT豪雅版,2015年1月,4.4,30,40.2,,,,,,,,,,
福特福克斯,2012款,福克斯-三厢,1.6,双离合,舒适型,2014年10月,1.6,8.5,14.2,,,,,,,,,,
大众捷达,2009款,捷达,1.6,手动,CIF-P 伙伴精英版,2009年3月,10,3.3,8,,,,,,,,,,
大众高尔夫,2011款,高尔夫 旅行车,1.4TSI,双离合,舒适版(进口),2012年11月,3.6,13.6,26,,,,,,,,,,
大众高尔夫,2015款,Golf Sportsvan,1.4TSI,双离合,(进口),2015年4月,0.2,20.3,27.3,,,,,,,,,,
奇瑞QQ3,2012款,,1,手动,时尚版启航型,2012年12月,7.6,1.6,3.9,,,,,,,,,,
路虎揽胜,2012款,,5.0T,自动,V8 SC(进口),2012年9月,4.3,83,238.6,,,,,,,,,,
比亚迪L3,2012款,,1.5,手动,舒适型,2012年7月,9,2.95,6.5,,,,,,,,,,
雪铁龙C5,2010款,C5,2.3,自动,尊贵型,2010年9月,8.5,9,24.6,,,,,,,,,,
长城M2,2010款,,1.5,手动,两驱豪华版,2010年4月,10.2,2.9,7.2,,,,,,,,,,
大众速腾,2010款,速腾,1.8TSI,手动,冠军版,2010年5月,9.7,7.4,18.8,,,,,,,,,,
现代ix35,2010款,,2,自动,GLS 两驱精英型,2011年9月,4.5,10.9,21.3,,,,,,,,,,
日产奇骏,2008款,奇骏,2,手动,XE 舒适版,2009年5月,7,8.6,22.6,,,,,,,,,,
长城M4,2012款,,1.5,手动,两驱豪华版,2013年1月,5.1,4.5,7.4,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.4TSI,双离合,舒适版,2012年10月,4.7,9.5,16.4,,,,,,,,,,
日产逍客,2008款,逍客,2,无级,20X 雷 两驱,2010年12月,8.4,8.2,20.5,,,,,,,,,,
标致3008,2013款,,2,自动,潮流版,2014年12月,2.8,13.5,20.3,,,,,,,,,,
吉利帝豪EC7-RV,2010款,,1.5,手动,尊贵型,2011年9月,11.6,3.55,9.6,,,,,,,,,,
奥迪A8L,2014款,,3.0TFSI,自动,45TFSI quattro舒适型(进口),2015年5月,0.2,65,100.6,,,,,,,,,,
别克GL8,2011款,,3,自动,XT 旗舰版,2011年8月,10,21.5,42.1,,,,,,,,,,
Jeep大切诺基,2010款,,3.7,自动,(进口),2010年9月,11.2,19.5,45.8,,,,,,,,,,
北京E系列,2014款,,1.5,手动,乐天版,2014年11月,6.8,3.5,6.7,,,,,,,,,,
大众迈腾,2012款,迈腾,2.0TSI,双离合,至尊版,2012年12月,6.2,17,31.7,,,,,,,,,,
宝马3系,2013款,320i,2.0T,自动,运动设计套装(改款)(进口),2013年10月,4,25,41.1,,,,,,,,,,
奥迪Q7,2014款,Q7,3.0TFSI,自动,40TFSI 运动型(进口),2014年12月,4.9,63.5,120.7,,,,,,,,,,
宝马3系,2013款,320i,2.0T,自动,运动设计套装(改款)(进口),2013年10月,4,25,41.1,,,,,,,,,,
奥迪Q7,2014款,Q7,3.0TFSI,自动,40TFSI 运动型(进口),2014年12月,4.9,63.5,120.7,,,,,,,,,,
福特福克斯,2012款,福克斯-两厢,1.6,双离合,风尚型,2013年6月,5.2,8.5,15.6,,,,,,,,,,
金杯阁瑞斯,2014款,,2,手动,标准顶商务型长轴11座,2014年7月,1.4,7,18.4,,,,,,,,,,
英菲尼迪G25-三厢,2013款,,2.5,自动,豪华运动版(进口),2014年5月,3.1,24,40.8,,,,,,,,,,
捷豹XJ,2014款,XJL,3.0T,自动,SC 四驱尊享商务版(进口),2014年8月,4.2,65.5,133.3,,,,,,,,,,
宝马3系,2014款,320Li,2.0T,手动,,2014年5月,5,23,35.8,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.6,自动,舒适版,2014年5月,3,10.3,15.1,,,,,,,,,,
马自达8,2013款,8,2.5,自动,尊贵版,2013年1月,9.8,15,25.6,,,,,,,,,,
荣威550,2010款,,1.8,自动,DVVT 精英版舒适型,2012年2月,14.5,6,15.2,,,,,,,,,,
福特福克斯,2012款,福克斯-两厢,1.6,双离合,风尚型,2013年3月,3.6,8.3,15.6,,,,,,,,,,
奥迪A6L,2012款,A6L,2.5FSI,无级,30FSI 舒适型,2013年10月,8.5,31,51.3,,,,,,,,,,
宝马5系,2014款,520i 旅行车,2.0T,自动,(进口),2013年10月,6.1,32.8,53.1,,,,,,,,,,
奥迪Q5,2013款,Q5,2.0TFSI,自动,40TFSI quattro 舒适型,2014年9月,3.9,36,52.3,,,,,,,,,,
凯迪拉克SRX,2010款,,3,自动,豪华型(进口),2010年4月,8.7,20,54.1,,,,,,,,,,
雪铁龙世嘉,2008款,世嘉-两厢,2,手动,豪华型,2009年3月,9.2,3.99,15.1,,,,,,,,,,
现代新胜达,2010款,,2.4,自动,7座四驱豪华版(进口),2010年6月,10.8,12.1,29.7,,,,,,,,,,
宝马3系,2013款,320Li,2.0T,自动,豪华设计套装(改款),2013年9月,7.5,22.8,43.9,,,,,,,,,,
捷豹F-Type,2015款,F-Type S Coupe,3.0T,自动,(进口),2014年8月,1.4,69,106.2,,,,,,,,,,
标致2008,2014款,,1.6,自动,时尚版,2015年12月,0.9,9.2,13.2,,,,,,,,,,
雪佛兰迈锐宝,2012款,,2.4,自动,SE SIDI 豪华版,2012年9月,9.7,11,21.7,,,,,,,,,,
宝马5系,2013款,530Li,3,自动,领先型,2012年12月,5.8,35.2,60.7,,,,,,,,,,
现代瑞纳-三厢,2010款,,1.4,自动,GS 舒适型,2010年12月,10,4.5,9.4,,,,,,,,,,
大众帕萨特,2014款,帕萨特,1.8TSI,双离合,御尊导航版,2015年5月,4.4,18.5,26.4,,,,,,,,,,
丰田FJ酷路泽,2007款,FJ酷路泽,4,自动,四驱版(进口),2008年7月,10.6,29,55.3,,,,,,,,,,
宝马5系,2014款,525Li,2.0T,自动,豪华设计套装,2014年2月,4.3,36.5,54.2,,,,,,,,,,
本田CR-Z,2012款,CR-Z,,,,2014年1月,3.1,15,31.3,,,,,,,,,,
丰田凯美瑞,2012款,凯美瑞,2,自动,S耀动版,2014年5月,1.9,14.5,19.5,,,,,,,,,,
奔驰S级,2014款,S320L,3.0T,自动,商务型(进口),2015年6月,1.6,80,101.8,,,,,,,,,,
大众高尔夫,2013款,Cross,Golf,1.4TSI,双离合(进口),2014年3月,4.6,16.6,30.8,,,,,,,,,,
大众途安,2013款,途安,1.4TSI,手动,5座风尚版,2013年12月,5.3,10.2,16.3,,,,,,,,,,
日产逍客,2010款,逍客,2,无级,20X 雷 两驱,2009年3月,12.3,7.5,20.5,,,,,,,,,,
别克昂科拉,2014款,,1.4T,自动,两驱都市精英型,2014年7月,1.6,11.5,17.4,,,,,,,,,,
Jeep牧马人,2013款,,3.6,自动,四门 Sa,2014年7月,2,41.8,51,,,,,,,,,,
东风风度帅客,2013款,,1.6,手动,商用型5座(改款),2014年11月,4.9,4.6,7.7,,,,,,,,,,
路虎揽胜极光,2014款,,2.0T,自动,耀动版(进口),2014年10月,1.2,40,68.2,,,,,,,,,,
奔驰GLK级,2013款,GLK 300 4MATIC,3,自动,时尚型,2012年11月,3.7,30,52.6,,,,,,,,,,
奥迪A4L,2012款,A4L,2.0TFSI,无级,132kw标准型,2012年7月,11,17,33.6,,,,,,,,,,
铃木北斗星E+,2011款,,1.4,手动,豪华版,2011年6月,7.6,2,5.8,,,,,,,,,,
奔驰C级,2011款,C200 CGI,1.8T,自动,优雅型,2011年3月,6.5,16.9,37.8,,,,,,,,,,
SmartFortwo Cabrio,2013款,,1,自动,MHD 城市游侠特别版(进口),2014年4月,3,7.6,18.4,,,,,,,,,,
江淮和悦RS,2012款,,1.8,手动,精英运动型7座,2012年4月,1.6,4,8.3,,,,,,,,,,
斯柯达明锐,2013款,明锐,1.6,自动,逸致版,2014年1月,2.9,8.9,14.5,,,,,,,,,,
雪佛兰科鲁兹,2011款,,1.6T,手动,涡轮增压版,2011年9月,3.2,8.5,17.4,,,,,,,,,,
现代新胜达,2015款,新胜达,2.0T,自动,智能型7座,2016年4月,0.7,21.8,,,,,,,,,,,
斯柯达晶锐,2012款,晶锐,1.4,自动,晶致版,2011年11月,5.2,4.8,9.9,,,,,,,,,,
奔驰S级,2014款,S320L,3.0T,自动,豪华型(进口),2015年1月,5.2,85,120.3,,,,,,,,,,
MINICoupe,2012款,Cooper Coupe,1.6,自动,(进口),2014年2月,0.9,21.8,34.5,,,,,,,,,,
大众宝来,2013款,宝来,1.6,手动,时尚版,2013年3月,1.8,7.8,11.7,,,,,,,,,,
大众朗逸,2013款,朗逸,1.6,自动,舒适版(改款),2014年7月,2.2,10.3,15,,,,,,,,,,
奥迪A6L,2010款,A6L,2.4,无级,舒适型,2010年11月,11.9,18,51.6,,,,,,,,,,
现代索纳塔,2011款,第八代索纳塔,2,自动,LUXURY 至尊型,2012年1月,10.1,10.7,22.1,,,,,,,,,,
大众朗逸,2013款,朗逸,1.6,自动,舒适版(改款),2014年5月,5.9,9.5,15,,,,,,,,,,
大众帕萨特,2014款,帕萨特,1.8TSI,双离合,御尊导航版,2015年1月,6.8,18.5,26.4,,,,,,,,,,
现代索纳塔,2011款,第八代索纳塔,2,自动,GLS 领先型,2012年11月,5.2,10.8,19.5,,,,,,,,,,
福田风景,2014款,快运,2,手动,经典型长轴高顶4Q20M,2015年11月,0.7,6.3,7.3,,,,,,,,,,
东风风行菱智M3,2013款,,1.6,手动,标准型,2014年2月,11.4,4,7.3,,,,,,,,,,
斯柯达明锐,2009款,明锐,1.6,自动,逸仕版,2010年3月,9.6,6.5,15.9,,,,,,,,,,
奥迪Q5,2011款,Q5,2.0TFSI,自动,豪华型,2011年6月,4.9,29.5,61.6,,,,,,,,,,
别克君越,2013款,,2.4SIDI,自动,精英舒适型,2014年4月,2.7,17.5,27.8,,,,,,,,,,
福特蒙迪欧,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2013年3月,3.9,11.8,21.7,,,,,,,,,,
奔驰R级,2010款,R350L,3.5,自动,四驱版(进口),2012年7月,9.1,39,86.6,,,,,,,,,,
雪铁龙世嘉,2010款,世嘉-三厢,1.6,手动,尚乐版,2010年7月,8.3,4.4,11.9,,,,,,,,,,
福特福克斯,2015款,福克斯-三厢,1.6,双离合,风尚型,2016年5月,0.4,11.5,14.8,,,,,,,,,,
大众速腾,2014款,速腾,1.4TSI,双离合,豪华型(改款),2015年1月,3.2,13.78,18.2,,,,,,,,,,
雪佛兰科鲁兹,2009款,,1.6,自动,SE,2010年8月,11.7,5.7,14.4,,,,,,,,,,
大众途观,2010款,途观,1.8TSI,自动,两驱风尚版,2011年11月,8.8,15,25.4,,,,,,,,,,
奥迪A4,2008款,A4,2.0TFSI,无级,豪华型,2008年6月,8.3,9.3,37.3,,,,,,,,,,
大众迈腾,2015款,迈腾,1.8TSI,双离合,领先型,2015年5月,5.4,17.6,23.9,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.4TSI,双离合,舒适版,2012年7月,2.6,9.8,16.4,,,,,,,,,,
现代伊兰特-三厢,2008款,,1.6,手动,清新型,2010年1月,4.5,4,9.7,,,,,,,,,,
日产骊威,2013款,骊威,1.6XV,无级,劲锐豪华版,2013年12月,3.6,8.2,12.7,,,,,,,,,,
吉利自由舰,2010款,,1.3,手动,金钻版,2010年7月,10.8,1.3,4.3,,,,,,,,,,
道奇酷威,2011款,,2.7,自动,豪华导航版(进口),2011年6月,8.3,14.6,32.6,,,,,,,,,,
奥迪A6L,2012款,A6L,2.0TFSI,无级,标准型,2013年3月,4.5,29.2,44.5,,,,,,,,,,
现代新胜达,2012款,,2.4,自动,7座四驱舒适版(进口),2012年8月,8.1,15.3,27.3,,,,,,,,,,
东南V3菱悦,2012款,,1.5,手动,幸福版,2012年4月,7.9,3.3,6.5,,,,,,,,,,
日产轩逸,2012款,,1.6,无级,XL豪华版,2012年9月,8.5,8.8,14.7,,,,,,,,,,
大众宝来,2011款,宝来,1.6,自动,舒适版,2011年9月,5.3,6.8,14.2,,,,,,,,,,
丰田皇冠,2010款,皇冠,2.5,自动,Royal 天窗导航版,2012年7月,5.7,20,40.4,,,,,,,,,,
福特福克斯,2012款,福克斯-两厢,1.6,双离合,风尚型,2013年12月,10,8.5,15.6,,,,,,,,,,
宝马X6,2012款,X6 xDrive35i,3.0T,自动,(进口),2012年7月,7.1,53,115.4,,,,,,,,,,
标致3008,2015款,,2,手动,经典版,2015年3月,2.4,12,17.3,,,,,,,,,,
奥迪A6L,2010款,A6L,2.0TFSI,无级,标准型,2010年5月,14.5,16.74,43.4,,,,,,,,,,
现代名驭,2009款,,2,自动,GL舒适型,2010年4月,7.6,5.4,13.9,,,,,,,,,,
宝马5系,2010款,520Li,2,自动,领先型,2009年8月,9.8,15.9,44.8,,,,,,,,,,
日产奇骏,2014款,新势代奇骏,2,无级,XL两驱舒适版,2015年7月,2.2,17.8,21.4,,,,,,,,,,
斯柯达明锐,2014款,明锐,1.4TSI,双离合,逸致版,2014年1月,4.5,9.6,16,,,,,,,,,,
福特福克斯,2009款,福克斯-三厢,1.8,自动,时尚型,2009年3月,11.4,4.6,14.6,,,,,,,,,,
标致408,2013款,,2,自动,舒适版,2013年11月,3.2,8.5,15.6,,,,,,,,,,
奥迪A6L,2009款,A6L,2.0TFSI,无级,标准型,2009年4月,10.7,15.5,43.2,,,,,,,,,,
路虎发现4,2013款,,5,自动,V8 SE(进口),2013年7月,5.9,64,114.8,,,,,,,,,,
大众捷达,2013款,捷达,1.6,手动,舒适型,2014年4月,6.6,6.5,10.7,,,,,,,,,,
奥迪Q5,2012款,Q5,2.0TFSI,自动,进取型,2012年12月,1.3,27.1,41.6,,,,,,,,,,
雪铁龙世嘉,2011款,世嘉-三厢,1.6,自动,时尚型,2011年4月,8,5.4,12.9,,,,,,,,,,
丰田RAV4,2011款,RAV4,2,自动,豪华版,2011年10月,8.4,12.5,24.9,,,,,,,,,,
大众宝来,2008款,宝来,1.6,手动,舒适版,2009年11月,13.6,5.1,12.9,,,,,,,,,,
绅宝D20-三厢,2015款,,1.5,自动,乐尚版,2016年4月,0.5,6.2,7.7,,,,,,,,,,
起亚狮跑,2011款,,2,自动,GLS 两驱,2011年10月,4.5,8.9,20,,,,,,,,,,
宝马5系,2011款,520Li,2.5,自动,典雅型,2011年4月,8.4,25,45.4,,,,,,,,,,
标致207-两厢,2009款,,1.4,手动,品乐版,2010年1月,7.6,2.8,8.3,,,,,,,,,,
沃尔沃S60,2013款,,2.0T,自动,T5 舒适版(进口),2012年12月,7.5,16.8,35,,,,,,,,,,
奥迪Q5,2013款,Q5,2.0TFSI,自动,40TFSI quattro 进取型,2014年7月,4.5,32,41.6,,,,,,,,,,
现代伊兰特-三厢,2007款,,1.6,手动,舒适型,2010年9月,13.5,3.9,9.7,,,,,,,,,,
宝马X1,2013款,X1 sDrive18i,2,自动,豪华型(进口),2012年12月,5.2,17.5,39.8,,,,,,,,,,
奔驰C级,2011款,C200 CGI,1.8T,自动,优雅型,2012年1月,7.9,19,37.8,,,,,,,,,,
奥迪A6L,2010款,A6L,2.4,无级,技术型,2010年6月,8.1,20,46.8,,,,,,,,,,
三菱欧蓝德,2008款,,3,自动,精英版(进口),2009年4月,5.5,10.8,38.4,,,,,,,,,,
现代维拉克斯,2007款,,3.8,自动,豪华型(进口),2009年8月,10,13,43.2,,,,,,,,,,
宝马X1,2013款,X1 sDrive18i,2,自动,时尚型,2013年4月,6.5,18.7,30.9,,,,,,,,,,
标致307-三厢,2007款,,1.6,手动,尊贵版,2008年10月,13.9,3,13.3,,,,,,,,,,
别克GL8,2014款,,2.4,自动,经典版,2015年5月,2.5,18.3,22.7,,,,,,,,,,
长安CX20,2014款,,1.4,自动,天窗导航版,2015年1月,5.4,4.9,7,,,,,,,,,,
江淮瑞风S5,2013款,,1.8T,手动,新锐版,2013年6月,3.2,6.5,11.9,,,,,,,,,,
福特福克斯,2009款,福克斯-两厢,1.8,自动,时尚型,2010年4月,9.5,5.2,14.6,,,,,,,,,,
宝马7系,2013款,730Li,3,自动,领先型(进口),2013年7月,4.9,53,100.7,,,,,,,,,,
别克GL8,2014款,,2.4,自动,经典版,2014年1月,6.4,16.1,22.7,,,,,,,,,,
捷豹XJ,2012款,XJL,3,自动,旗舰商务版(进口),2012年1月,4.1,49.8,125.7,,,,,,,,,,
大众迈腾,2011款,迈腾,1.4TSI,双离合,精英版,2011年7月,5.3,10.98,22.1,,,,,,,,,,
英菲尼迪G25-三厢,2013款,,2.5,自动,豪华运动版(进口),2012年10月,11.7,19.8,40.8,,,,,,,,,,
雪铁龙C5,2012款,C5,2.3,自动,尊驭型,2012年6月,7,11.5,22.2,,,,,,,,,,
雪佛兰科鲁兹,2013款,,1.6,手动,SE,2012年10月,7.3,6.5,13,,,,,,,,,,
路虎神行者2代,2012款,,2.0T,自动,Si4 HSE 汽油版(进口),2012年5月,3.4,32,64.9,,,,,,,,,,
雪铁龙世嘉,2011款,世嘉-两厢,1.6,手动,冠军版,2012年1月,13.1,4.6,12,,,,,,,,,,
福特锐界,2011款,锐界,3.5,自动,尊锐型(进口),2011年7月,5.9,22.7,46.7,,,,,,,,,,
斯柯达野帝,2014款,野帝,1.8TSI,双离合,极地版,2014年11月,2.5,15.5,24.3,,,,,,,,,,
大众迈腾,2013款,迈腾,2.0TSI,双离合,至尊版,2014年10月,4.2,18.9,31.8,,,,,,,,,,
比亚迪S7,2015款,,2.0TID,双离合,旗舰型,2015年1月,1.4,11.5,15.2,,,,,,,,,,
别克君威,2015款,,1.6T,自动,时尚技术型,2015年9月,2.5,16,21.7,,,,,,,,,,
MINI,2011款,Mini Cooper S,1.6T,自动,(进口),2011年7月,4.8,15.2,39,,,,,,,,,,
大众CC,2013款,CC,1.8TSI,双离合,豪华版,2014年7月,5.1,20,29.2,,,,,,,,,,
本田雅阁,2008款,第八代雅阁,2,自动,EX Navi 标准导航版,2009年1月,6.1,9.5,23.9,,,,,,,,,,
福特翼搏,2013款,翼搏,1.5,双离合,尊贵型,2015年7月,1.1,9.9,13.9,,,,,,,,,,
福特探险者,2013款,探险者,3.5,自动,尊享型(进口),2013年7月,4.4,38.8,58.6,,,,,,,,,,
丰田卡罗拉,2008款,卡罗拉,1.8,自动,GL-I 天窗特别版,2010年7月,7.2,7.08,16.3,,,,,,,,,,
本田杰德,2014款,杰德,1.8,自动,Exi 舒适精英版5座,2014年9月,1.7,12.8,17.1,,,,,,,,,,
日产NV200,2014款,NV200,1.6,手动,豪华型,2014年5月,5.2,7.5,11.7,,,,,,,,,,
大众高尔夫,2010款,高尔夫6,1.6,手动,时尚版,2010年9月,5.7,6,12.9,,,,,,,,,,
雪佛兰迈锐宝,2013款,,2,自动,SE 豪华版,2013年7月,3.9,12.3,19.7,,,,,,,,,,
大众高尔夫,2011款,高尔夫6,1.4TSI,双离合,舒适版,2011年6月,9.9,8.5,16.3,,,,,,,,,,
奥迪A4L,2010款,A4L,2.0TFSI,无级,132kw标准型,2010年5月,8.1,14.5,33.6,,,,,,,,,,
日产逍客,2010款,逍客,2,无级,20X 雷 两驱,2010年10月,5.5,9.5,20.5,,,,,,,,,,
奥迪A6L,2012款,A6L,2.5FSI,无级,30FSI 技术型,2012年7月,6,28.9,47,,,,,,,,,,
奥迪A7,2014款,A7 Sportback,2.8FSI,双离合,35FSI Quattro 技术型(进口),2014年11月,2.1,48,79,,,,,,,,,,
奇瑞瑞虎5,2014款,,2,手动,家悦版,2014年6月,7.2,6.9,10.8,,,,,,,,,,
陆风X8,2009款,,2.4,手动,四驱超豪华型,2010年8月,8.8,4.9,16.5,,,,,,,,,,
大众朗逸,2011款,朗逸,1.6,自动,品雅版,2011年6月,4.9,7.5,14.6,,,,,,,,,,
Jeep指南者,2014款,,2.4,自动,豪华导航版(进口),2013年11月,4.2,16.5,30.5,,,,,,,,,,
起亚秀尔,2010款,,1.6,自动,GLS,2010年1月,8.6,5.2,13.7,,,,,,,,,,
长城C30,2010款,,1.5,手动,豪华版,2010年11月,6.5,3.1,7.2,,,,,,,,,,
宝马5系,2012款,523Li,2.5,自动,豪华型,2012年9月,6.1,31.5,53.7,,,,,,,,,,
大众迈腾,2015款,迈腾,1.8TSI,双离合,豪华型,2015年2月,6.2,17.5,25.3,,,,,,,,,,
宝马5系,2013款,535Li,3.0T,自动,领先型,2013年6月,3.3,40,69.4,,,,,,,,,,
道奇酷威,2013款,,2.4,自动,两驱尊尚版(进口),2015年3月,3.1,22.1,31.7,,,,,,,,,,
宝马5系,2014款,528Li,2.0T,自动,领先型,2015年4月,2.4,42.5,59.8,,,,,,,,,,
奔驰威霆,2014款,威霆,3,自动,商务版,2015年7月,3,48,42.2,,,,,,,,,,
别克君越,2010款,,2.4,自动,豪华版,2010年10月,8.2,12,29.6,,,,,,,,,,
长安CS35,2015款,,1.6,自动,豪华型,2015年5月,3,7.3,10.1,,,,,,,,,,
奔驰S级,2015款,S400L 4MATIC,3.0T,自动,(进口),2015年1月,2.4,108,145.2,,,,,,,,,,
路虎揽胜运动版,2010款,,5,自动,V8 NA HSE(进口),2010年8月,12,60,151.7,,,,,,,,,,
东南V3菱悦,2012款,,1.5,手动,亲民版豪华版,2012年10月,9.1,3.25,6.9,,,,,,,,,,
奔驰C级,2009款,C200K,1.8T,自动,优雅型,2010年5月,8.2,16,41.8,,,,,,,,,,
